1|Npower have tested my patience.... And I'm losing! No bill for months on end, incorrect and duplicated bills then received. Opened a complaint/disputed and although they acknowledged that they had messed up (repeatedly), they couldn't put the situation right and put a default on my credit report! The staff are useless and often slate npower themselves. I've switched supplier (e-on, who are much better), but npower are still threatening legal action on an account that is closed and satisfied (which they acknowledge). They are incompetent ameatures-don't put yourself through the experience! 
2|I was with N Power at my previous address, when we left the property we had outstanding debt with N power, we was unaware of this money that was owed, they contacted a debt collector and they got in contact with us, at this stage I contacted N power to find out what was owed etc - I had an agreement with them to pay the money monthly, they told me that they would contact the debt collector and let them know we had come to an agreement, however they never told them and then I had the debt collector at my front door! demanding money, I had to call them again and was told they would tell them, however we have since received further letters from this debt company, I will never go with N power again their communication skills are disgusting!!!!!!!
3|I moved out of my house august 2014 and thought i had settled both electricity and gas in october when after hassling them they finally produced a bill. Thought it was all settled but it turns out they had not settled the gas. They omitted to mention that. Why on earth i would settle one and not the other is beyond me.In January!!  i got a bill for GBP40 (interestingly it was dated may 2011)   i was way working for the first three months so got back to messages from a debt collection agency which was the first i heard about itJust spoke to npower who would only reduce it by GBP25 instead of wiping as any normal company would have done after being 5 months late with a bill  - just paid it but will put this story on as many websites as possible so people understand how incompetent and inept this company is. Avoid them at all costs.
4|"moved into a new house in June 2014, up until today I still haven't received a bill. it has been problem after problem, firstly the opening reads given to them by British Gas, they couldnt get right and apply to the account correctly, took them 6 months to get the account correct and the serial numbers for the meters confirmed with thier ""bak office team""!!I was expecting a bill in december in line with their direct debit 6 month billing cycle, but could see online, bill wasn't going to be generated until April 7th 2015, rang to be told that there was a problem with the account and there was nothing they could do!?Bearing in mind, this account was a brand new account, with a new house, with opening reads given to them, bi-weekly meter readings sent to them by myself, and yet they still couldnt generate a bill.7th April came, SMS received to say there was a problem with the account (surprise surprise) and they would fix asap. log in to online account to see next bill is due 1st July!?!?!?!?!Rang to find out why this was, billing department rang their complaints department who fixed something on the account which was apparently minor. Cue the complaints department swapping the elec and gas readings round, screwing my bill and the past 10/11 months of meter reads gone! Only found they had made the mistake of swapping the reads round when I asked why I owed them GBP225, after working out I owed approx GBP600, account in credit by GBP850!!Rang back after getting cut off, to be told by billing that it would be 10 days to investigate (their) mistake on the account, after speaking to the web team and speaking to a very helpful person, readings have been rectified today and bill should be generated 3-5 days.After all this, this is no way to, A) run a business and more importantly, B) treat your customers.There's no excuse for the ineptness on N-Power's behalf and all the apologies in the world cannot make up for being left in the dark, not knowing whether you've over/underpaid your bill. bearing in mind these show up on your credit scoring, its extremely important they don't mess anything up.The GBP50 exit fee per fuel is looking extremely attractive as I'm not sure I can hack another 2 years with N-Power.Avoid like the plague!!!"
5|"Mr Beamer Wong,A guy phoned me up and it was an young male Asian voice and so I thought this is going to be fun.  He wanted to sell me gas and Electricity.Having been in Northern Ireland for the last 10 years I know all too well Energy suppliers here are about as rare as an honest politician.  So I spelt out loudly; Beamer:""Am I right in understanding that N-Power supplies to Northern Ireland.He replied by simply and ignorantly saying Sales Boy:""yes I understand this is an Island, it is my headache to supply energy to you!""(LOL good luck with that.)So he proceeded to ask me of my meter readings which I obligingly gave to him, but stopped short at the bank details.  He demanded to get my bank details before he even found out whether N-Power had a tap in the supplies here.  I am not a racist but I was trying to let the poor man down easily.  I couldn't get energy off N-Power even if I wanted to because we are not on the mainland.  But these sales guys just don't get a clear message.  As thick as the fly head butting the window."
6|I have had nothing but trouble with N Power they illegally doubled my direct debit from GBP44 to GBP96 a month even though I was GBP500 in credit. They promised last November to give me this GBP500 Back. Ive Left NPOWER THEY OWE ME GBP290 CAN I GET IT BACK NO WAY I am spending hours on the phone and chat to be just given more LYES LYES LYES THIS COMPANY IS GERMAN AND SHOULD BE KIKED OUT OF THE UK THEY ARE JUST CONNING US
7|Switched over to them recently based on price but I wish I had read the reviews first. It has simply been problem after problem with meter readings and the online account. I have had to make several calls, none of which have been less than 30 minutes wait and when you talk to the staff they are either confused about their own systems or downright rude. While I write this I am on hold now after being pushed from department to department and it is now 1hr 23 minutes on this call and still no resolution. I did get GBP30 compensation for some of the problems but in all honesty, I regret getting involved with NPower.
8|"This is a cut and paste of the complaint email (not the first that I sent to NPower) regarding my terrible experience to date: I am writing to you concerning an outstanding credit which has been owed to me since the account was finalised and closed on the 23rd November 2014. This figure amounts to a total of GBP100.13 as stated on my final bill. Having not heard anything from NPower and without having any sign of this amount being settled via a cheque or by transfer into my account by the middle of January 2015 (the 19th of January if my memory serves) I called to query this and to ensure that the amount was correct. There was some confusion during the conversation with a call- centre operator who I can only describe as being fiercely loyal to your company. Hats off to him for the courage of his conviction however I cannot help but feel that his die hard loyalty is misplaced given I have found business dealings with you nothing more than unreliable and extremely testing of my patience during long and drawn out phone calls. After being transferred to a supervisor I was finally able to raise the issue I had tried to request at the beginning of my first conversation (albeit after a substantial amount of talk time being consumed) only to be told that this would take a further forty days to remedy. On the 20th of January 2015 I received a letter from the complaints manager for NPower. Given its generic wording and non-specific nature I presume that this was generated by a computer as a method of temporary appeasement and to give the impression that something was actually being done. I was reliably informed in this letter that an advisor within the complaints team ""will ensure it is resolved and keep you informed of progress"". So here we are on the 24th March 2015, four months after I stopped being a customer of NPower. On that date your company no longer had any claim to the GBP100.13 credit. It is now nine weeks after I called to ensure the amount was correct and for payment to be expedited. Still I have not heard from your undoubtedly overstretched complaints advisor's and there is no sign of the money owed. I concede NPower is a significantly sized energy providing company, in fact one of the ""Big six"", however the simple rules of business should apply. If I were owed an amount from an individual once services were ceased or at the conclusion of a contract I would afford them a second request in writing giving twenty eight days notice for payment to be made. After this period I would be well within my rights to seek legal advice to receive monies owed. How is it that as an individual requesting money from a large concern these principles are clearly ignored. I should be within my rights to demand interest on top of the outstanding amount to allow for monies lost had it been in my account. I am certain that if I owed NPower a sum of money once the contract was terminated, long before now I would have received letters from a debt collection agency. The amount owed is not large, however your very large company has been unable to quickly and efficiently resolve its payment. It could be said that if NPower cannot be trusted with smaller amounts and relatively uncomplicated issues, as in this case, how can it be expected to manage larger sums and national energy supply. I would go as far as to state that NPower clearly has flawed procedures and inadequate management strategies to operate in the ""Big six"" arena and this is clearly evidenced when any attempt by members of the public is made to ask questions or clarify detail regarding an account. I lost count of the number of times I was told that someone was unable to provide an answer there and then, or unable to read your own billing system to work an answer out themselves. I cannot help but feel that many of your operators are mere automatons providing scripted responses in the hope that the customer accepts this and is willing to wait forty days for an answer to a simple question. I have no doubt that this email will be read possibly with contempt, maybe even passed to a colleague to roll their eyes at. That aside a copy of this email will be placed on price comparison and review sites in the hope that it may at least prevent one other person from making the monumental mistake of trusting NPower with their money"
9|In September 2014 I was notified that our direct debit would increase to GBP156 per month. We have duel fuel with them. Looking at the bills we were always GBP300-400 in credit at the end of January each year.  I rang them and asked why they are increasing my DD when we are always in credit through the winter (we go to Tenerife). They took no notice and the upper DD went into play.  In February I rang them to say I was not well in credit (Over GBP300 and asked for my money to be put back in my bank.  I was promised this would be done in 2-3 working days - we provided up to date meter readings.  This did not happen so I informed them I was coming off DD and going onto paper billing, and requested my money back again.  I then received a per credit bill of GBP315.32.  I again asked for this to be deposited in my bank.  I have just had a bill, GBP159.14 as they have taken the invoice amount from the credit.I am sick of them and moving as soon as this account is clear.  They are absolutely useless.  They do not communicate with each other let alone their customers. Total rip off merchants.  I am now going to complain to the ombudsmen - they are using customer credit (of which there must be millions) to finance their company.  Avoid them at all costs and if you are with them keep away from Direct Debits.
10|"The only good thing about npower is the free phone number. If I had to pay for all the calls its taken to make some sence of my account I would have been in the bankruptcy court by now. Not a happy bunny. Looking for a newprovider but dont want to go ""out of the fry pan into the fire"".Whatever happened to the good old Gas Board and the Electricity Board?"
11|"NPower told me that I had built up nearly a GBP5,000 worth of Bills over a year and started taking GBP735 a Month in Direct Debits to pay it off (I argued that it couldn't have been correct and they ""proved"" to me that it was. 6 Months later I get a Bill reversal and a new Bill - for GBP3,000 less. I asked for a refund to which they told me that a BACS refund would take 28 Days - I don't know how they work that out as they are same day. I never received my refund and in the end my Bank re-reimbursed me under the Direct Debit Guarantee. No apology, no interest for the time they had stolen my money.You shouldn't touch them with a Barge Pole."
12|Having sold my property four months ago I have finally got the 300 pounds I was owed from n power I had to escalate this to a complaint to get this result staff have always been polite but despite promises from numerous staff and endless hours on the phone repeating myself it has taken a disgustingly amount of time I'm pretty confident if I had owed this company money they would not have been so lenient with me 
13|Despite setting up online account to enable me to send meter readings for my 95 year old father was informed on entering account that it was closed. Rang customer service and guess what they refused to speak to me even though I had previously sent up the account so I could operate it. I asked to speak to manager etc. but to no avail. I found the person I spoke to very rude and didn't seem to have any interest at all in helping.
14|Despite setting up online account to enable me to send meter readings for my 95 year old father was informed on entering account that it was closed. Rang customer service and guess what they refused to speak to me even though I had previously sent up the account so I could operate it. I asked to speak to manager etc. but to no avail. I found the person I spoke to very rude and didn't seem to have any interest at all in helping.
15|"For the fourth time in one week, I had to contact Npower regarding a none working pre-payment meter and four times they sent out some of their trained chimps from their subsidiary company called Meterplus.  Today they say are refusing to come round for... wait for it, and you will love this, ""human faeces in the hallway"", to say I was taken aback is the understatement of the year, anyway, after spending most of the day on the phone to these idiots, I have been informed that although this allegation has been made, no one is prepared to put a name to the accusation and no one will come and fix the meter.  Incidentally, I have checked and rechecked the hallway and no, there isn't anything of the sort there, so, join them at your own risk, ... you have been warned "
